mm,mdd,dd,hr,Temp,VPD,"Wind speed",Precip,P,O3,HD,R,PAR
,,,,C,kPa,"m s-1",mm,kPa,ppb,"W m-2",Wm-2,"umol m-2 s-1"
2,4,35,6,1.85,0,1.1,1.473,97.9,29.936,-15.2,0,0
2,4,35,7,2.72,0.005262,1.2,1.473,97.97,30.557,-7.73,0,0
2,4,35,8,2.29,0.004584,1.3,1.473,97.94,32.029,-0.27,0,0
2,4,35,9,2.75,0.008281,1.38,0.01,98.26,32.926,7.2,81.14,166.86441
2,4,35,10,2.12,0.004954,1.33,0.01,97.98,32.777,13.13,178.4,366.8796
2,4,35,11,2.42,0.006258,1.29,0.01,98.1,32.61,19.07,243.75,501.271875
2,4,35,12,3.13,0.009824,1.26,0,98.33,32.835,25,315.27,648.352755
2,4,35,13,2.87,0.008412,1.04,0,98.28,32.577,20.23,305.36,627.97284
2,4,35,14,3,0.00908,0.82,0,98.3,31.869,15.47,252.1,518.44365
2,4,35,15,0.27,0,0.61,0,98.4,30.836,10.7,164.28,337.84182
2,4,35,16,2.17,0.007069,0.5,0,98.35,29.484,7,37.87,77.879655
2,4,35,17,1.22,0.004916,0.4,0,98.37,27.628,3.3,0,0
2,4,35,18,-0.59,0.000542,0.12,0.003,98.47,12.807,-0.4,0,0
2,4,35,19,-0.02,0.005455,0.11,0.003,98.42,9.855,-1.97,0,0
2,4,35,20,-0.31,0.001502,0.17,0.003,98.44,12,-3.53,0,0
2,4,35,21,-1.79,0,0.26,0.003,98.57,12.904,-5.1,0,0
2,4,35,22,-1,0,0.22,0.003,98.49,9.737,-3.9,0,0
2,4,35,23,-1.4,0,0.18,0.003,98.53,7.353,-2.7,0,0
2,5,36,0,-2.22,0,0.16,0,98.68,5.854,-1.5,0,0
2,5,36,1,-1.94,0,0.14,0,98.59,4.575,-2.47,0,0
2,5,36,2,-2.09,0,0.17,0,98.63,4.899,-3.43,0,0
2,5,36,3,-1.25,0,0.23,0.01,98.79,6.296,-4.4,0,0
2,5,36,4,-1.91,0,0.29,0.01,98.7,8.547,-8.83,0,0
2,5,36,5,-1.58,0,0.37,0.01,98.74,11.701,-13.27,0,0
2,5,36,6,0.94,0.008159,0.46,0.003,98.89,15.286,-17.7,0,0
2,5,36,7,-0.53,0,0.59,0.003,98.81,21.549,-21.43,0,0
2,5,36,8,0.2,0.000647,0.7,0.003,98.85,26.531,-25.17,0.01,0.020565
2,5,36,9,4,0.019763,0.8,0,99.02,28.644,-28.9,101.24,208.20006
2,5,36,10,1.95,0.002616,1.2,0,98.92,32.988,-13.17,216.89,446.034285
2,5,36,11,2.97,0.00466,1.44,0,98.96,35.362,2.57,294.87,606.400155
2,5,36,12,5.49,0.016443,1.64,0.043,99.25,37.646,18.3,330.77,680.228505
2,5,36,13,4.48,0.007306,1.59,0.043,99.07,37.018,5,320.76,659.64294
2,5,36,14,4.97,0.007359,1.56,0.043,99.15,35.218,-8.3,265.64,546.28866
2,5,36,15,3.41,0,1.55,0.003,99.35,35.003,-21.6,126.96,261.09324
2,5,36,16,4.79,0.007093,1.38,0.003,99.27,36.087,-27,31.77,65.335005
2,5,36,17,4.09,0.006707,1.21,0.003,99.31,37.338,-32.4,0,0
2,5,36,18,2.54,0.002163,1.02,0,99.5,37.103,-37.8,0,0
2,5,36,19,3.11,0.006,0.85,0,99.38,36.377,-38.77,0,0
2,5,36,20,2.82,0.00553,0.82,0,99.43,36.428,-39.73,0,0
2,5,36,21,3.47,0.009916,0.93,0,99.32,36.771,-40.7,0,0
2,5,36,22,2.87,0.004704,1.15,0,99.46,37.197,-44.6,0,0
2,5,36,23,3.18,0.005502,1.36,0,99.4,35.513,-48.5,0,0
2,6,37,0,1.85,0,1.59,0,99.19,33.524,-52.4,0,0
2,6,37,1,2.94,0.006515,1.76,0,99.29,34.013,-62.23,0,0
2,6,37,2,2.4,0.006464,1.93,0,99.25,34.688,-72.07,0,0
2,6,37,3,2.84,0.011753,2.09,0,98.91,35.086,-81.9,0,0
2,6,37,4,2.2,0.006414,2.14,0,99.13,35.492,-78.93,0,0
2,6,37,5,2.54,0.006295,2.18,0,99.03,35.873,-75.97,0,0
2,6,37,6,5.07,0.018946,2.23,0.023,98.79,35.192,-73,0,0
2,6,37,7,3.59,0.006122,2.36,0.023,98.88,33.676,-73.5,0,0
2,6,37,8,4.34,0.0063,2.49,0.023,98.84,32.826,-74,0.12,0.24678
2,6,37,9,6.81,0.018044,2.62,0.01,98.63,33.5,-74.5,53.81,110.660265
2,6,37,10,5.66,0.007063,2.69,0.01,98.75,35.017,-67.27,111.88,230.08122
2,6,37,11,6.24,0.007605,2.77,0.01,98.7,37.153,-60.03,151.16,310.86054
2,6,37,12,8.72,0.022211,2.84,0.14,98.52,39.138,-52.8,269.46,554.14449
2,6,37,13,7.46,0.007915,2.88,0.14,98.61,39.767,-53.97,261.2,537.1578
2,6,37,14,8.09,0.007699,2.92,0.14,98.57,38.869,-55.13,217.35,446.980275
2,6,37,15,8.67,0.007303,2.95,0.057,98.43,37.7,-56.3,152.75,314.130375
2,6,37,16,8.71,0.007963,3.03,0.057,98.5,37.291,-65.6,41.7,85.75605
2,6,37,17,8.69,0.008289,3.11,0.057,98.47,37.366,-74.9,0,0
2,6,37,18,7.73,0.00171,3.2,0.17,98.29,37.762,-84.2,0,0
2,6,37,19,8.37,0.008221,3.18,0.17,98.4,38.124,-81.37,0,0
2,6,37,20,8.06,0.007836,3.16,0.17,98.35,38.164,-78.53,0,0
2,6,37,21,7.77,0.007511,3.15,0.177,98.49,37.798,-75.7,0,0
2,6,37,22,7.73,0.007888,3.03,0.177,98.33,37.572,-76.77,0,0
2,6,37,23,7.74,0.008427,2.95,0.177,98.4,38.02,-77.83,0,0
2,7,38,0,5.56,0,2.92,0.06,98.7,38.779,-78.9,0,0
2,7,38,1,7.01,0.008517,2.48,0.06,98.54,38.887,-66.5,0,0
2,7,38,2,6.28,0.008244,2.09,0.06,98.61,38.77,-54.1,0,0
2,7,38,3,3.73,0,1.77,0,98.86,38.746,-41.7,0,0
2,7,38,4,4.94,0.0078,1.65,0,98.74,39.047,-38.93,0,0
2,7,38,5,4.33,0.007578,1.53,0,98.79,38.883,-36.17,0,0
2,7,38,6,3.41,0.005563,1.41,0,99.18,37.909,-33.4,0,0
2,7,38,7,3.6,0.007559,1.3,0,98.93,36.327,-30.3,0,0
2,7,38,8,3.49,0.007634,1.19,0,99.04,34.529,-27.2,0.23,0.472995
2,7,38,9,4.8,0.015599,1.07,0.05,99.47,32.66,-24.1,110.57,227.387205
2,7,38,10,3.85,0.008075,1.24,0.05,99.24,33.403,-13.67,225.37,463.473405
2,7,38,11,4.31,0.0092,1.37,0.05,99.34,34.729,-3.23,302.52,622.13238
2,7,38,12,3.87,0.005342,1.49,0,99.63,36.039,7.2,342.67,704.700855
2,7,38,13,4.48,0.011297,1.67,0,99.51,36.869,-6.97,332.66,684.11529
2,7,38,14,4.17,0.012108,1.9,0,99.56,37.675,-21.13,277.55,570.781575
2,7,38,15,2.51,0.005423,2.16,0,99.79,38.447,-35.3,180.83,371.876895
2,7,38,16,3.4,0.010841,2.16,0,99.67,38.672,-52.2,52.66,108.29529
2,7,38,17,2.95,0.008955,2.17,0,99.72,39,-69.1,0,0
2,7,38,18,3.3,0.011342,2.18,0.003,100.01,38.993,-86,0,0
2,7,38,19,2.75,0.006685,2.07,0.003,99.84,38.674,-78.3,0,0
2,7,38,20,3.02,0.006247,1.96,0.003,99.91,38.509,-70.6,0,0
2,7,38,21,3.16,0.005066,1.85,0.01,100.18,38.357,-62.9,0,0
2,7,38,22,3.24,0.005866,1.82,0.01,100.05,38.319,-62.33,0,0
2,7,38,23,3.19,0.005852,1.78,0.01,100.1,38.313,-61.77,0,0
2,8,39,0,2.56,0.002804,1.75,0,100.04,38.263,-61.2,0,0
2,8,39,1,2.97,0.005949,1.74,0,100.15,38.115,-57.7,0,0
2,8,39,2,2.77,0.005948,1.73,0,100.1,37.888,-54.2,0,0
2,8,39,3,2.44,0.005326,1.74,0,99.98,37.698,-50.7,0,0
2,8,39,4,2.53,0.005989,1.77,0,100.03,37.568,-51.77,0,0
2,8,39,5,2.49,0.006046,1.8,0,100.01,37.292,-52.83,0,0
2,8,39,6,3.15,0.009916,1.83,0,99.89,36.891,-53.9,0,0
2,8,39,7,2.68,0.00623,1.87,0,99.96,36.538,-53.73,0,0
2,8,39,8,2.92,0.006367,1.91,0,99.93,36.375,-53.57,0.47,0.966555
2,8,39,9,4.29,0.012967,1.95,0.003,99.82,36.471,-53.4,29.48,60.62562
2,8,39,10,3.54,0.007211,2,0.003,99.87,36.94,-36.63,58.61,120.531465
2,8,39,11,3.92,0.008072,2.06,0.003,99.85,37.714,-19.87,78.3,161.02395
2,8,39,12,5.43,0.016181,2.1,0,99.51,38.538,-3.1,332.25,683.272125
2,8,39,13,4.7,0.009717,2.24,0,99.75,39.178,-10.97,322.24,662.68656
2,8,39,14,5.08,0.010323,2.38,0,99.65,39.63,-18.83,269.99,555.234435
2,8,39,15,4.54,0.005546,2.52,0.007,99.34,40.046,-26.7,126.46,260.06499
2,8,39,16,5.15,0.009725,2.48,0.007,99.47,40.271,-41.83,39.33,80.882145
2,8,39,17,4.85,0.008609,2.45,0.007,99.42,40.477,-56.97,0,0
2,8,39,18,4.49,0.007105,2.41,0,99.48,40.661,-72.1,0,0
2,8,39,19,4.51,0.007416,2.36,0,99.37,40.973,-68.97,0,0
2,8,39,20,4.49,0.007385,2.33,0,99.42,41.287,-65.83,0,0
2,8,39,21,3.94,0.004443,2.3,0,99.19,41.37,-62.7,0,0
2,8,39,22,4.33,0.007534,2.37,0,99.42,41.568,-66.2,0,0
2,8,39,23,4.15,0.007533,2.44,0,99.32,42.103,-69.7,0,0
2,9,40,0,4.52,0.011109,2.51,0.317,98.77,42.805,-73.2,0,0
2,9,40,1,4.17,0.0072,2.68,0.317,99.1,43.507,-70.13,0,0
2,9,40,2,4.36,0.006806,2.85,0.317,98.96,43.826,-67.07,0,0
2,9,40,3,5.99,0.015357,3.02,0.25,98.78,44,-64,0,0
2,9,40,4,5.01,0.006203,2.71,0.25,98.77,43.739,-57.47,0,0
2,9,40,5,5.5,0.006285,2.48,0.25,98.78,42.643,-50.93,0,0
2,9,40,6,5.59,0.003877,2.34,0.04,98.84,40.562,-44.4,0,0
2,9,40,7,5.85,0.00708,2.25,0.04,98.79,39.364,-45.87,0,0
2,9,40,8,5.72,0.007638,2.17,0.04,98.81,39.446,-47.33,1.88,3.86622
2,9,40,9,6.22,0.012041,2.1,0.003,99.09,39.597,-48.8,124.14,255.29391
2,9,40,10,5.78,0.008712,2.03,0.003,98.9,39.385,-30.17,240.94,495.49311
2,9,40,11,5.99,0.009406,1.97,0.003,98.98,38.943,-11.53,319.36,656.76384
2,9,40,12,7.9,0.02189,1.91,0.027,99.23,38.517,7.1,354.43,728.885295
2,9,40,13,6.77,0.009967,1.67,0.027,99.12,37.638,0,344.47,708.402555
2,9,40,14,7.33,0.01012,1.48,0.027,99.17,36.656,-7.1,289.51,595.377315
2,9,40,15,5.69,0,1.38,0,99.07,35.622,-14.2,182.38,375.06447
2,9,40,16,7.18,0.009279,1.4,0,99.19,35.102,-26.97,60.34,124.08921
2,9,40,17,6.44,0.007937,1.42,0,99.14,35.207,-39.73,0,0
2,9,40,18,4.83,0.00176,1.46,0,98.77,35.222,-52.5,0,0
2,9,40,19,5.43,0.006852,1.49,0,99,34.856,-49.83,0,0
2,9,40,20,5.14,0.006773,1.53,0,98.9,34.427,-47.17,0,0
2,9,40,21,5.52,0.011374,1.57,0.053,98.16,35.055,-44.5,0,0
2,9,40,22,5.12,0.006793,1.73,0.053,98.63,37.657,-51.8,0,0
2,9,40,23,5.35,0.006547,1.91,0.053,98.43,40.712,-59.1,0,0
2,10,41,0,5.7,0.007592,2.09,0.843,97.53,42.66,-66.4,0,0
2,10,41,1,5.64,0.005947,2.52,0.843,98.02,43.823,-61.8,0,0
2,10,41,2,5.7,0.006055,2.93,0.843,97.81,43.873,-57.2,0,0
2,10,41,3,6.89,0.014262,3.33,1.433,97.15,44.169,-52.6,0,0
2,10,41,4,6.13,0.006162,2.99,1.433,97.45,44.169,-49.8,0,0
2,10,41,5,6.53,0.006233,2.7,1.433,97.32,43.642,-47,0,0
2,10,41,6,6.97,0.007353,2.48,2.937,96.57,42.174,-44.2,0,0
2,10,41,7,6.97,0.006173,2.21,2.937,97.02,40.176,-34.7,0,0
2,10,41,8,7,0.005822,1.95,2.937,96.83,38.359,-25.2,1.22,2.50893
2,10,41,9,6.64,0.003094,1.7,0.867,96.41,36.582,-15.7,42.7,87.81255
2,10,41,10,6.87,0.005765,2.07,0.867,96.53,35.818,-14.2,80.23,164.992995
2,10,41,11,6.76,0.007432,2.47,0.867,96.48,36.889,-12.7,105.5,216.96075
2,10,41,12,3.78,0,2.89,0.753,96.13,41.048,-11.2,312.24,642.12156
2,10,41,13,5.71,0.00779,2.92,0.753,96.35,43.646,-0.3,303.31,623.757015
2,10,41,14,4.76,0.006027,2.97,0.753,96.25,42.649,10.6,256.39,527.266035
2,10,41,15,1.88,0,3.04,0.437,97.06,41.541,21.5,180.48,371.15712
2,10,41,16,3.06,0.005342,2.83,0.437,96.34,40.431,-12.07,64.55,132.747075
2,10,41,17,2.43,0.00673,2.62,0.437,96.65,42.102,-45.63,0,0
2,10,41,18,1.35,0.005687,2.44,0.237,97.36,41.862,-79.2,0,0
2,10,41,19,1.68,0.007442,2.45,0.237,97.13,41.405,-74.43,0,0
2,10,41,20,1.5,0.006504,2.47,0.237,97.23,40.847,-69.67,0,0
2,10,41,21,1.71,0.007207,2.48,0.047,97.71,41.318,-64.9,0,0
2,10,41,22,1.44,0.00553,2.47,0.047,97.44,42.256,-64.5,0,0
2,10,41,23,1.56,0.00553,2.47,0.047,97.55,42.014,-64.1,0,0
2,11,42,0,2.19,0.007846,2.47,0,98.07,41.317,-63.7,0,0
2,11,42,1,1.84,0.005607,2.35,0,97.79,39.89,-65.97,0,0
2,11,42,2,2,0.005713,2.24,0,97.91,38.327,-68.23,0,0
2,11,42,3,2.24,0.006153,2.13,0.003,98.21,37.686,-70.5,0,0
2,11,42,4,2.19,0.005745,2,0.003,98.1,37.573,-68.13,0,0
2,11,42,5,2.21,0.005595,1.89,0.003,98.15,37.357,-65.77,0,0
2,11,42,6,4.23,0.016508,1.8,0.027,98.09,36.799,-63.4,0,0
2,11,42,7,2.91,0.005521,1.99,0.027,98.18,36.852,-57.57,0,0
2,11,42,8,3.58,0.005751,2.17,0.027,98.14,37.129,-51.73,6.87,14.128155
2,11,42,9,5.73,0.015248,2.35,0.097,98.2,37.652,-45.9,133.49,274.522185
2,11,42,10,4.72,0.006528,2.31,0.097,98.11,37.971,-33.27,247.44,508.86036
2,11,42,11,5.22,0.007022,2.27,0.097,98.15,38.351,-20.63,323.96,666.22374
2,11,42,12,6.27,0.011332,2.23,0.082,98.02,38.882,-8,345.96,711.46674
2,11,42,13,5.93,0.007334,1.98,0.082,98.16,39.114,-9.13,336.28,691.55982
2,11,42,14,6.11,0.007122,1.76,0.082,98.1,39.132,-10.27,284.78,585.65007
2,11,42,15,5.49,0.002256,1.6,0.063,97.81,38.883,-11.4,110.84,227.94246
2,11,42,16,6.03,0.006606,1.56,0.063,97.97,38.796,-17,40.95,84.213675
2,11,42,17,5.77,0.006151,1.54,0.063,97.9,39.489,-22.6,0,0
2,11,42,18,3.95,0,1.55,0.363,97.7,40.788,-28.2,0,0
2,11,42,19,4.99,0.005237,1.33,0.363,97.79,40.92,-21.43,0,0
2,11,42,20,4.47,0.004808,1.12,0.363,97.75,40.049,-14.67,0,0
2,11,42,21,4.44,0.007399,0.94,0.337,97.51,38.683,-7.9,0,0
2,11,42,22,4.13,0.004259,0.91,0.337,97.66,37.718,-9.73,0,0
2,11,42,23,4.29,0.004132,0.87,0.337,97.59,36.767,-11.57,0,0
2,12,43,0,3.74,6.2e-05,0.84,0.834,97.44,35.276,-13.4,0,0
2,12,43,1,4.21,0.003711,0.76,0.834,97.49,32.997,-11.87,0,0
2,12,43,2,3.98,0.003416,0.68,0.834,97.47,30.51,-10.33,0,0
2,12,43,3,5.44,0.013596,0.6,1.531,97.16,28.007,-8.8,0,0
2,12,43,4,4.33,0.003779,0.67,1.531,97.38,27.278,-13.8,0,0
2,12,43,5,4.9,0.003757,0.78,1.531,97.28,27.592,-18.8,0,0
2,12,43,6,6.28,0.008867,0.91,0.57,97.1,28.501,-23.8,0,0
2,12,43,7,5.73,0.003677,1.01,0.57,97.15,29.589,-25.43,0,0
2,12,43,8,6.01,0.004209,1.11,0.57,97.13,30.758,-27.07,2.68,5.51142
2,12,43,9,8.32,0.019511,1.2,0.08,96.87,31.934,-28.7,36.4,74.8566
2,12,43,10,6.98,0.005112,1.18,0.08,97.05,32.803,-20.67,65.8,135.3177
2,12,43,11,7.66,0.005503,1.17,0.08,96.97,33.325,-12.63,85.62,176.07753
2,12,43,12,8.28,0.006271,1.17,0.233,96.42,33.594,-4.6,94.71,194.771115
2,12,43,13,8.35,0.006411,1.34,0.233,96.77,33.953,-7.87,92.03,189.259695
2,12,43,14,8.34,0.006429,1.52,0.233,96.62,34.194,-11.13,78.27,160.962255
2,12,43,15,7.49,0.000729,1.7,0.857,96.09,34.016,-14.4,54.18,111.42117
2,12,43,16,8.05,0.006227,1.73,0.857,96.35,33.061,-15.73,21.11,43.412715
2,12,43,17,7.78,0.006138,1.75,0.857,96.24,32.297,-17.07,0,0
2,12,43,18,7.31,0.004675,1.79,0.137,96.03,32.412,-18.4,0,0
2,12,43,19,7.44,0.006093,1.82,0.137,96.08,33.126,-18.93,0,0
2,12,43,20,7.38,0.006299,1.89,0.137,96.06,34.248,-19.47,0,0
2,12,43,21,5.18,0,2.01,0.073,96,35.707,-20,0,0
2,12,43,22,6.6,0.006294,2.07,0.073,96.02,37.194,-21.8,0,0
2,12,43,23,5.89,0.006274,2.14,0.073,96.01,38.155,-23.6,0,0
2,13,44,0,3.79,0,2.21,0.017,96.06,38.191,-25.4,0,0
2,13,44,1,4.71,0.006481,2.23,0.017,96.01,37.725,-33.77,0,0
2,13,44,2,4.25,0.006604,2.25,0.017,96.03,37.309,-42.13,0,0
2,13,44,3,3.11,0.002945,2.28,0,96.23,37.056,-50.5,0,0
2,13,44,4,3.55,0.00663,2.26,0,96.1,36.764,-54.5,0,0
2,13,44,5,3.32,0.006519,2.24,0,96.15,36.383,-58.5,0,0
2,13,44,6,3.64,0.0093,2.23,0.02,96.41,35.851,-62.5,0,0
2,13,44,7,3.27,0.00634,2.24,0.02,96.27,35.366,-58.33,0,0
2,13,44,8,3.45,0.00626,2.24,0.02,96.33,35.101,-54.17,13.61,27.988965
2,13,44,9,5.1,0.014617,2.25,0.05,96.71,34.908,-50,148.77,305.945505
2,13,44,10,4.1,0.006572,2.34,0.05,96.48,35.098,-34.27,264.46,543.86199
2,13,44,11,4.59,0.007251,2.43,0.05,96.58,35.317,-18.53,341.78,702.87057
2,13,44,12,4.72,0.005738,2.52,0.151,96.99,36.103,-2.8,252.16,518.56704
2,13,44,13,4.95,0.008259,2.75,0.151,96.77,37.723,-17.93,245.69,505.261485
2,13,44,14,4.82,0.008368,2.98,0.151,96.87,39.549,-33.07,209.32,430.46658
2,13,44,15,3.08,0,3.21,0.006,97.24,41.561,-48.2,122.03,250.954695
2,13,44,16,4.15,0.008716,2.96,0.006,97.05,41.658,-59.23,49.46,101.71449
2,13,44,17,3.6,0.009088,2.71,0.006,97.13,40.172,-70.27,0,0
2,13,44,18,2.85,0.008419,2.45,0.005,97.33,38.687,-81.3,0,0
2,13,44,19,3,0.008572,2.26,0.005,97.26,38.092,-72.8,0,0
2,13,44,20,2.92,0.007593,2.08,0.005,97.29,38.069,-64.3,0,0
2,13,44,21,2.01,0.002396,1.91,0,97.42,38.235,-55.8,0,0
2,13,44,22,2.56,0.006209,1.82,0,97.35,38.134,-56.37,0,0
2,13,44,23,2.28,0.005732,1.73,0,97.38,37.634,-56.93,0,0
2,14,45,0,1.43,0.002505,1.64,0.018,97.46,36.863,-57.5,0,0
2,14,45,1,1.81,0.005257,1.56,0.018,97.43,36.014,-52.87,0,0
2,14,45,2,1.62,0.005127,1.48,0.018,97.44,35.209,-48.23,0,0
2,14,45,3,0.73,0.001663,1.4,0.017,97.49,34.461,-43.6,0,0
2,14,45,4,1.19,0.005281,1.28,0.017,97.47,33.441,-38.57,0,0
2,14,45,5,0.96,0.005475,1.16,0.017,97.48,32.215,-33.53,0,0
2,14,45,6,0.52,0.00461,1.06,0,97.47,30.49,-28.5,0,0
2,14,45,7,0.66,0.005343,1.09,0,97.49,29.858,-26.6,0,0
2,14,45,8,0.59,0.005091,1.12,0,97.48,30.2,-24.7,18.57,38.189205
2,14,45,9,3.38,0.019149,1.15,0,97.6,30.515,-22.8,157.43,323.754795
2,14,45,10,1.46,0.005621,1.3,0,97.5,32.213,-0.73,275.45,566.462925
2,14,45,11,2.41,0.007963,1.39,0,97.54,33.355,21.33,354.54,729.11151
2,14,45,12,3.27,0.010208,1.45,0.05,97.7,34.176,43.4,306.12,629.53578
2,14,45,13,3.33,0.010596,1.38,0.05,97.62,34.302,27.13,298.18,613.20717
2,14,45,14,3.3,0.010317,1.31,0.05,97.66,34.156,10.87,254.69,523.769985
2,14,45,15,1.91,0.002746,1.21,0.023,97.79,33.694,-5.4,61.77,127.030005
2,14,45,16,2.81,0.007828,1.14,0.023,97.72,33.13,-11.77,25.88,53.22222
2,14,45,17,2.36,0.006163,1.07,0.023,97.75,32.251,-18.13,0,0
2,14,45,18,1.46,0.002777,0.98,0,98.16,30.652,-24.5,0,0
2,14,45,19,1.73,0.004933,0.99,0,97.87,29.835,-24.93,0,0
2,14,45,20,1.58,0.00476,1,0,98,29.693,-25.37,0,0
2,14,45,21,1.75,0.006043,1.01,0,98.33,30.223,-25.8,0,0
2,14,45,22,1.54,0.004703,1.02,0,98.2,31.237,-24.97,0,0
2,14,45,23,1.64,0.004751,1.04,0,98.25,32.328,-24.13,0,0
2,15,46,0,1.92,0.005594,1.06,0.007,98.52,33.277,-23.3,0,0
2,15,46,1,1.79,0.004795,1.09,0.007,98.37,33.899,-28.9,0,0
2,15,46,2,1.85,0.004772,1.14,0.007,98.44,34.328,-34.5,0,0
2,15,46,3,1.83,0.004161,1.18,0.013,98.79,34.65,-40.1,0,0
2,15,46,4,1.87,0.004766,1.15,0.013,98.58,34.592,-38.3,0,0
2,15,46,5,1.84,0.004822,1.12,0.013,98.67,34.342,-36.5,0,0
2,15,46,6,1.43,0.002762,1.1,0,99.13,33.924,-34.7,0,0
2,15,46,7,1.67,0.004889,1.06,0,98.87,33.306,-31.23,0,0
2,15,46,8,1.53,0.004934,1.04,0,98.98,32.768,-27.77,22.45,46.168425
2,15,46,9,4.4,0.020902,1.02,0.017,99.34,32.006,-24.3,161.7,332.53605
2,15,46,10,2.4,0.005855,1.16,0.017,99.18,33.826,-7.13,279.54,574.87401
2,15,46,11,3.39,0.008469,1.25,0.017,99.25,35.935,10.03,358.48,737.21412
2,15,46,12,5.35,0.017569,1.32,0,99.38,37.511,27.2,390.77,803.618505
2,15,46,13,4.71,0.013354,1.14,0,99.35,37.83,20.07,380.64,782.78616
2,15,46,14,5.03,0.014784,0.97,0,99.36,37.591,12.93,325.73,669.863745
2,15,46,15,2.94,0.001909,0.8,0,99.31,36.811,5.8,225.09,462.897585
2,15,46,16,4.55,0.009266,0.7,0,99.36,34.937,-3,96.82,199.11033
2,15,46,17,3.75,0.005359,0.63,0,99.34,32.47,-11.8,0,0
2,15,46,18,2.16,0.001939,0.63,0.003,99.25,29.408,-20.6,0,0
2,15,46,19,2.69,0.005916,0.71,0.003,99.3,28.552,-26.3,0,0
2,15,46,20,2.43,0.005404,0.83,0.003,99.28,28.334,-32,0,0
2,15,46,21,3.03,0.009303,0.96,0,99.04,28.33,-37.7,0,0
2,15,46,22,2.47,0.004541,1.2,0,99.2,29.273,-37.7,0,0
2,15,46,23,2.76,0.005207,1.4,0,99.13,28.868,-37.7,0,0
2,16,47,0,3.04,0.006357,1.58,0,98.72,27.945,-37.7,0,0
2,16,47,1,3.06,0.006322,1.74,0,98.97,28.279,-41.23,0,0
2,16,47,2,3.07,0.00646,1.89,0,98.86,29.188,-44.77,0,0
2,16,47,3,2.81,0.005576,2.05,0.003,98.26,29.456,-48.3,0,0
2,16,47,4,3,0.006732,2.16,0.003,98.62,29.991,-51.2,0,0
2,16,47,5,2.93,0.006802,2.27,0.003,98.46,31.248,-54.1,0,0
2,16,47,6,2.6,0.005794,2.38,0.6,97.96,32.367,-57,0,0
2,16,47,7,2.77,0.00611,2.49,0.6,98.19,33.157,-46.13,0,0
2,16,47,8,2.7,0.005384,2.61,0.6,98.09,34.436,-35.27,8.51,17.500815
2,16,47,9,4.68,0.016429,2.73,0.46,97.63,36.051,-24.4,42.62,87.64803
2,16,47,10,3.32,0.004978,2.64,0.46,97.89,36.967,-26.03,72.04,148.15026
2,16,47,11,4.02,0.005456,2.54,0.46,97.78,37.52,-27.67,91.87,188.930655
2,16,47,12,5.55,0.011415,2.45,0.137,97.48,37.679,-29.3,100.86,207.41859
2,16,47,13,4.98,0.006321,2.48,0.137,97.6,37.753,-33.1,98.23,202.009995
2,16,47,14,5.27,0.006678,2.52,0.137,97.55,37.96,-36.9,84.38,173.52747
2,16,47,15,5.51,0.007032,2.56,0.046,97.15,38.494,-40.7,106.57,219.161205
2,16,47,16,5.57,0.007181,2.58,0.046,97.41,39.095,-48.37,47.7,98.09505
2,16,47,17,5.55,0.0072,2.6,0.046,97.3,39.693,-56.03,0,0
2,16,47,18,6.22,0.011501,2.62,0.263,97.31,40.048,-63.7,0,0
2,16,47,19,5.73,0.006893,2.58,0.263,97.19,40.526,-58.83,0,0
2,16,47,20,5.97,0.006851,2.59,0.263,97.24,40.923,-53.97,0,0
2,16,47,21,5.53,0.002423,2.65,0.197,97.38,40.238,-49.1,0,0
2,16,47,22,5.98,0.006632,2.56,0.197,97.33,38.807,-46.67,0,0
2,16,47,23,5.75,0.006393,2.47,0.197,97.35,37.683,-44.23,0,0
2,17,48,0,5.42,0.005601,2.39,0.117,97.3,37.344,-41.8,0,0
2,17,48,1,5.5,0.006408,2.32,0.117,97.36,37.847,-39.37,0,0
2,17,48,2,5.46,0.006549,2.28,0.117,97.34,38.673,-36.93,0,0
2,17,48,3,3.78,0,2.26,0.03,97.25,39.68,-34.5,0,0
2,17,48,4,4.88,0.006525,2.21,0.03,97.29,41.017,-41.77,0,0
2,17,48,5,4.33,0.006508,2.2,0.03,97.27,41.314,-49.03,0,0
2,17,48,6,4.79,0.012703,2.21,0.775,96.99,40.273,-56.3,0,0
2,17,48,7,4.14,0.006541,2.48,0.775,97.19,39.735,-58.17,0,0
2,17,48,8,4.48,0.006331,2.76,0.775,97.11,39.671,-60.03,13.83,28.441395
2,17,48,9,7.09,0.021067,3.06,0.731,96.8,40.139,-61.9,44.56,91.63764
2,17,48,10,5.57,0.005967,2.86,0.731,96.95,40.544,-53.2,74.04,152.26326
2,17,48,11,6.34,0.0061,2.7,0.731,96.88,41.151,-44.5,93.87,193.043655
2,17,48,12,7.15,0.006982,2.58,0.963,96.62,41.579,-35.8,102.83,211.469895
2,17,48,13,7.13,0.006485,2.76,0.963,96.76,42.152,-39.83,100.19,206.040735
2,17,48,14,7.15,0.006476,2.95,0.963,96.7,42.673,-43.87,86.32,177.51708
2,17,48,15,7.69,0.010658,3.14,1.41,96.15,43.004,-47.9,62.14,127.79091
2,17,48,16,7.37,0.006833,3.33,1.41,96.52,43.347,-50.17,28.75,59.124375
2,17,48,17,7.55,0.007104,3.52,1.41,96.36,43.814,-52.43,0,0
