294.61 374.93 294.42 1.80 0.33 389.2
293.86 359.70 294.20 1.80 0.38 360.4666667
295.20 452.43 295.04 1.80 0.26 474.4666667
293.61 321.90 293.96 1.80 0.29 349.0666667
294.73 383.13 294.77 1.80 0.32 366.9666667
302.10 1648.33 299.78 3.78 0.32 346.0666667
303.58 1442.00 301.41 3.78 0.44 316.3
302.66 1839.33 301.10 3.78 0.36 326.4333333
303.65 1795.33 301.91 3.78 0.37 400.2333333
303.70 1145.63 302.02 3.78 0.20 347.0666667
302.80 1568.67 301.20 3.78 0.31 341.3333333
303.94 1675.33 301.39 3.78 0.32 364.9333333
303.40 1383.33 302.33 3.78 0.36 345.2
303.53 1536.67 301.59 3.78 0.35 336
304.33 1800.67 302.46 3.78 0.30 357.4666667
301.70 1362.00 302.13 3.56 0.31 330.5333333
305.32 1746.67 304.02 3.56 0.28 371.5333333
304.54 1869.00 303.26 3.56 0.31 331.9333333
303.82 1845.00 302.51 3.56 0.28 333.4666667
305.97 1868.67 304.35 3.56 0.32 332.2
305.75 1888.67 304.00 3.56 0.30 313.5
302.69 1751.00 303.17 3.56 0.32 317.7
300.13 1927.33 300.20 3.56 0.28 322.7666667
302.23 2031.67 302.18 3.56 0.29 310.7666667
303.69 1951.00 302.34 3.56 0.27 359.4
299.04 877.20 299.27 3.56 0.44 316.1333333
297.70 928.10 298.10 3.56 0.33 352.1333333
300.93 2007.33 300.19 3.56 0.31 338.1
301.07 1641.67 300.68 3.40 0.30 349.4
299.65 1133.57 299.67 3.40 0.27 351.3
296.97 625.03 296.92 3.40 0.30 357.7666667
299.70 1410.67 299.78 3.40 0.27 355.2
300.34 1379.67 300.30 3.40 0.32 355.8
299.75 1441.33 299.74 3.40 0.33 348.9
299.73 867.90 299.45 3.40 0.31 382.6333333
297.34 362.37 297.64 3.40 0.33 398.8
297.37 608.43 297.29 3.40 0.35 385.2333333
295.56 420.27 295.54 3.40 0.29 372.9
295.38 496.53 295.49 3.40 0.34 341.9
295.17 421.67 295.84 3.40 0.32 347.3
