30.53	101.7	1149.921917	4.21	3.46	0.00116
30.39	101.7	940.4285062	3.01	3.46	0.00139
29.88	101.7	925.1926914	2.79	3.46	0.00166
30.14	101.7	1136.739834	3.2	3.46	0.00271
30.28	101.7	913.0277932	3.2	3.46	0.00076
30.22	101.7	911.4113178	3.31	3.46	0.00053
30.3	101.7	1063.83354	3.72	3.46	0.00107
30.29	101.7	1175.942272	3.71	3.46	0.00189
30.53	101.7	1236.829697	3.52	3.46	0.00276
24.07	101.7	764.0271617	2.55	2.85	0.0002
23.91	101.7	757.7732468	2.55	2.85	0.00007
23.85	101.7	761.9732325	2.7	2.85	-0.00999
23.82	101.7	770.2248123	2.63	2.85	-0.00999
23.7	101.7	744.4814874	2.58	2.85	-0.00999
23.72	101.7	777.1020352	2.55	2.85	-0.00999
23.57	101.7	755.6319521	2.66	2.85	-0.00999
23.64	101.7	745.877189	2.43	2.85	0.00015
13.47	102.3	647.8541821	0.76	2.21	-0.00999
13.39	102.3	675.830446	0.77	2.21	-0.00999
13.28	102.3	680.7986217	0.75	2.21	-0.00999
13.19	102.3	685.8748791	0.71	2.21	-0.00999
13.29	102.3	702.3343708	0.69	2.21	-0.00999
13.2	102.3	698.108468	0.72	2.21	-0.00999
13.16	102.3	699.2567374	0.69	2.21	-0.00999
13.24	102.3	699.6217603	0.65	2.15	-0.00999
13.15	102.3	696.3178996	0.63	2.15	-0.00999
13.05	102.3	705.7181277	0.6	2.15	0.00004
13.08	102.3	718.5602669	0.45	2.15	0.00378
13.46	102.3	711.728935	0.51	2.15	0.00407
13.54	102.3	723.7190171	0.44	2.15	0.00484
13.6	102.3	723.5978476	0.44	2.11	0.0053
13.63	102.3	728.5568775	0.42	2.11	0.00606
13.85	102.3	728.6331034	0.41	2.11	0.00693
13.87	102.3	725.5910073	0.41	2.11	0.00673
14.64	102.3	746.0077427	0.58	2.11	0.00103
14.46	102.3	774.2041662	0.62	2.11	0.00088
14.66	102.3	743.0980349	0.49	2.11	0.00161
14.76	102.3	747.1084251	0.49	2.11	0.00179
14.76	102.3	744.1338496	0.5	2.11	0.00159
14.93	102.3	809.2967976	0.6	2.11	0.00265
